"ITEMPLAN MADRE	ESTADO ITEM. MADRE	CANT. HIJOS	NOMBRE ITEM. MADRE	PROYECTO	SUBPROYECTO	PRIORIDAD	PEP1	PEP2	ORDEN DE COMPRA	SITUACION.	MONTO.	# CERT.	EECC	ENCARGADO	# CARTA	FECHA RECEPCION	# FACTURA	ESTADO FACTURA	FECHA VALIDACION"
"M-20-06-016	Certificado	1	PUENTE CHILANGO KM 114+ 720 CARRETERA CIUDAD DE DIOS CAJAMARCA REUBICACION DE INTERFERENCIAS DE RED TDP 	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403105214	OC CERTIFICADA	380.00	5030794004	COBRA	CONSORCIO PUENTES PERU	N°32-2019 DEL 19 DE MARZO 2019	23/06/2020/	FEVC-00003841	EMITIDO	2020-10-22 12:50:40"
"M-20-06-017	Cancelado	1	EJE DE INTEGRACION VIAL N - TRAMO III - AREQUIPA	OBRA PUBLICA	GOBIERNOS REGIONALES	NO	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403135115	OC ANULADA			DOMINION	CONSORCIO VIAL II ( GOBIERNO REGIONAL AREQUIPA)	S/N DE FECHA 04 DE MARZO DEL 2019 	25/06/2020/			"
"M-20-06-018	Certificado	1	AGUA BUENA - MEJORAMIENTO DEL TRANSITO REUBICACION TDP	OBRA PUBLICA	GOBIERNOS REGIONALES	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403135095	OC CERTIFICADA	11428.93	5033449789	EZENTIS	GOBIERNO REGIONAL DEL CUSCO	Correo - Alonso del 24-06-2020	25/06/2020/			"
"M-20-07-000	Certificado	8	ZONA DE EMERGENCIA DEL SECTOR 3: Km 05+593 ? Km 14+680 (Dv. AREQUIPA - YURA)? DEL CORREDOR VIAL INTEROCEÁNICO SUR PERÚ ? BRASIL / TRAMO 5 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349583	OC CERTIFICADA	22838.00	5031343220	DOMINION	PROVIAS MTC	Presupuesto N° 16-2020, remitido mediante Car	26/06/2020/	FEVC-00007032	EMITIDO	2020-09-27 07:39:38"
"M-20-07-001	Cancelado	2	OVALO 26 DE NOVIEMBRE -  AV LOS HEROES - AV PACHACUTEC - 2	OBRA PUBLICA	EMAPE	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403135105	OC ANULADA	8513.10		LARI	EMAPE	SIN CARTA CORREO DE FREDDY DEL 02 DE JULIO DE	02/07/2020/			"
"M-20-07-002	Certificado	3	DEFINITVO - VARIANTE DE UCHUMAYO TRAMO III PUENTE SAN ISIDRO Y VIA DE EVITAMIENTO	OBRA PUBLICA	GOBIERNOS REGIONALES	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403135104	OC CERTIFICADA	307.40	5033445107	DOMINION	GOBIERNO REGIONAL DE AREQUIPA	CONTRATO N° 012-2017-GRA TRAMO III	08/07/2020/	4412-0015643	EMITIDO	2020-10-29 13:01:32"
"M-20-07-003	Cerrado	3	CREACIÓN DEL PASO A DESNIVEL EN LA INTERSECCIÓN DE LA AV. LAS PALMERAS-AV.JAVIER PRADO ESTE	OBRA PUBLICA	EMAPE	NO	P-0055-20-0681-00002	P-0055-20-0681-00002-001	9403181093	OC ANULADA			LARI	EMAPE	983-2019	13/07/2020/	FEVC-00004899	EMITIDO	"
"M-20-07-004	Certificado	1	TRABAJOS PARCIALES EN FRONTIS EN ALMACEBES BSF - Km 40 del Puente Quebrada Seca - Punta Hermosa	OBRA PUBLICA	MUNICIPALIDADES	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403214810	OC CERTIFICADA	8690.96	5030795247	DOMINION	Municipalidades	S/N	16/07/2020/	FEVC-00003331	EMITIDO	2020-10-07 15:45:16"
"M-20-07-005	Cancelado	1	Movimiento de cables casa - Ex congresista Lourdes Alcorta	OBRA PUBLICA	MUNICIPALIDADES	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403160497	OC ANULADA	23000.00		COBRA	LOURDES ALCORTA	S/N	24/07/2020/			"
"M-20-07-006	Cancelado	1	PROTECCION DE DUCTOS  AV, DOMINGO ORUE TRAMO COMPRENDIDO DESDE LA AV PASEO DE LA REPÚBLICA HASTA LA AV REPÚBLICA DE PANAMÁ, DISTRITO DE SURQUILLO, PRO	OBRA PUBLICA	MUNICIPALIDADES	NO	P-0055-20-0114-00003	P-0055-20-0114-00003-001	9403149318	OC ANULADA			COBRA	MUNICIPALIDAD METROPOLITANA DE LIMA	CARTA 307-2020-MML/PGRLM-SRI DEL 15 DE JUNIO 	30/07/2020/			"
"M-20-08-000	Certificado	1	AEROPUERTO IQUITOS REUBICACION TDP	OBRA PUBLICA	MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403174843	OC CERTIFICADA	4200.11	5030794128	LARI	MTC AEROPUERTO Aeropuerto Internacional Coronel FAP Francisco Secada Vignetta	OF 1633-2020-MTC-19-03-2020	31/08/2020/			"
"M-20-08-001	Certificado	2	COSNTRUCCION DEL PUENTE SANTA ROSA, ACCESOS, ROTONDA Y PASOS A DESNIVEL 	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403177297	OC CERTIFICADA	1637.55	5030794000	COBRA	PROVIAS MTC	S-2019-0338 LIMA del 15-04-2019	00/00/0000/	 FEVC 00007517 	EMITIDO	2020-09-17 13:49:30"
"M-20-08-002	Certificado	1	ESCALERAS Y PUENTES  COSTA VERDE  - BARRANCO 	OBRA PUBLICA	EMAPE	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403181085	OC CERTIFICADA	693.35	5030794002	COBRA	EMAPE	EMAPE OF 261-2019 COSTA VERDE	05/08/2020/	FEVC-00007025	EMITIDO	2020-09-17 13:48:59"
"M-20-08-003	Certificado	20	OF.10148-2019 MTC - Reubicacion de Redes en Evitamiento Trujillo, Evitamiento Pacasmayo, Tramo San José de Moro - Mocupe y Evitamiento Chiclayo - Auto	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403177318	OC CERTIFICADA	159042.43	5030795239	COBRA	PROVIAS MTC	OFICIO n° 10148-2019-MTC/20.22.04	07/08/2020/	FEVC-00006836	EMITIDO	2020-10-29 13:00:56"
"M-20-08-004	Certificado	8	OF 22485-2019-MTC-20.22.04  Reubicación de Redes por Puentes: Reque, Moche, Cartavio y Arenita - Autopista del Sol	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403334816	OC CERTIFICADA	46592.16	5031025201	COBRA	PROVIAS MTC	OF.22485-2019-MTC - CONVENIO 14-2020-MTC-20	01/08/2020/	FEVC-00006834 y FECV-00006835	EMITIDO	2020-09-08 21:13:00"
"M-20-08-005	Cancelado	1	AV. DOMINGO ORUE SURQUILLO - CARTA 307 REHABILITACION DE PISTAS VEREDAS Y RAMPAS SURQUILLO	OBRA PUBLICA	MUNICIPALIDADES	NO				SIN SOLICITUD OC			COBRA	MUNICIPALIDAD METROPOLITANA DE LIMA	CARTA 307-2020 - MML - PGRLM - SR	11/08/2020/			"
"M-20-08-006	Cancelado	1	Aeropuerto de Arequipa	OBRA PUBLICA	MTC	NO				SIN SOLICITUD OC	10000.00		DOMINION	MTC	OFICIO 1291 2020-MTC.-19-03	00/00/0000/			"
"M-20-08-007	Cancelado	1	AEROPUERTO TACNA	OBRA PUBLICA	MTC	NO				SIN SOLICITUD OC	20000.00		EZENTIS	MTC	OFICIO 1291-2020-MTC-19.03	10/08/2020/			"
"M-20-08-008	Cancelado	1	AEROPUERTO TARAPOTO	OBRA PUBLICA	MTC	NO				SIN SOLICITUD OC	25000.00		COBRA	MTC AEROPUERTO TARAPOTO	OFICIO 1299-2020-MTC	10/08/2020/			"
"M-20-08-009	Cancelado	1	AEROPUERTO DE PISCO	OBRA PUBLICA	MTC	NO				SIN SOLICITUD OC	10000.00		DOMINION	MTC AEROPUERTO DE PISCO	OFICIO 1318-2020-MTC	10/08/2020/			"
"M-20-08-010	Cancelado	1	AEROPUERTO PADRE ALDAMIZ DE PUERTO MALDONADO - MADRE DE DIOS	OBRA PUBLICA	MTC	NO				SIN SOLICITUD OC	15000.00		EZENTIS	MTC AEROPUERTO PADRE ALDAMIZ DE PUERTO MALDONADO MADRE DE DIOS	OFICIO 1525-2028-MTC-10.15 DEL 20 SEPTIEMBRE 	11/08/2020/			"
"M-20-08-011	Cancelado	1	AEROPUERTO DE CHACHAPOYAS	OBRA PUBLICA	MTC	NO				SIN SOLICITUD OC	5000.00		COBRA	MTC AEROPUERTO DE CHACHAPOYAS	OFICIO 1246-2020-MTC-19-03	12/08/2020/			"
"M-20-08-012	Certificado	1	REUBICACION DE POSTES - ZONA 2 - SECTOR B ASOC. CIUDAD DE DIOS YURA AREQUIPA	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403181084	OC CERTIFICADA	2663.80	5030794164	DOMINION	CONSORCIO VIAL CIUDAD DE DIOS - REP COMUN ING RONALD CONDORI MAMANI	CARTA S-N DE 19 DE FEBRERO DEL 2020	12/08/2020/	0000-000-borrador	EMITIDO	2020-09-28 12:24:02"
"M-20-08-013	Cancelado	1	AEROPUERTO DE ANTA - CARHUAZ -ANCASH	OBRA PUBLICA	MTC	NO				SIN SOLICITUD OC	5000.00		LITEYCA	MTC AEROPUERTO DE ANTA CARHUAZ. ANCASH	OFICIO 1299 -2020	00/00/0000/			"
"M-20-08-014	Certificado	1	OVALO DE ACCESO A CASCAS EN SECTOR CHICLIN - DISTRITO DE CHICAMA -- ASCOPE 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403334822	OC CERTIFICADA	7116.76	5031025203	COBRA	PROVIAS MTC	OF 36735-2019 MTC OVALO ACCESO A CASCAS	31/08/2020/	FEVC-00007033	EMITIDO	2020-10-15 14:22:45"
"M-20-08-015	Cerrado	1	 CONVENIO 042-2016 MTC - REUBICACION RED TRAMO MATARANI - EL ARENAL - PUNTA DE BOMBON	OBRA PUBLICA	PROVIAS MTC	NO	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403338158	OC ANULADA			EZENTIS	PROVIAS MTC	CONVENIO 042-2016-MTC-20	00/00/0000/	FEVC-00001590	EMITIDO	2020-10-15 17:18:24"
"M-20-08-016	Certificado	2	DEFINITIVO ADOSADO DE FO A PUENTE  FORTALEZA AUNOR  	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349613	OC CERTIFICADA	1876.56	5031130138	LARI	AUNOR	AN-GG-C-18-1006 DEL 26 DE NOVIEMRBE DEL 2018	31/08/2020/	FEVC-00004464	EMITIDO	2020-09-09 12:16:57"
"M-20-08-017	Certificado	5	PARADERO PN KM 15+200 	OBRA PUBLICA	MUNICIPALIDADES	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349612	OC CERTIFICADA	28910.36	5031141584	EZENTIS	MUNICIPALIDAD METROPOLITANA DE LIMA	CARTA 389-2020-MML-GPIP	31/08/2020/	FEVC-00007071	EMITIDO	"
"M-20-08-018	Certificado	2	REUB TDP AV. MARIANO CORNEJO 1436 PUEBLO LIBRE - INMOBILIARIA ALCANFORES	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349603	OC CERTIFICADA	161.99	5031130549	COBRA	INMOBILIARIA ALCANFORES	SIN MUMERO DEL 05D E FEBRERO DEL 2020 CONVENI	22/08/2020/	FEVC-00006912	EMITIDO	2020-09-17 13:48:25"
"M-20-08-019	Cancelado	1	REPARACION DE BAUSATE Y MEZA	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO				SIN SOLICITUD OC	30000.00		EZENTIS	TDP	SIN NUMERO CORREO DE  FREDDY	28/08/2020/			"
"M-20-08-020	Cancelado	1	PUENTE VIRU	OBRA PUBLICA	PROVIAS MTC	NO				SIN SOLICITUD OC			COBRA	PROVIAS NACIONAL	OFICIO N° 28594-2019-MTC/20.22.4	26/08/2019/			"
"M-20-09-000	Certificado	29	TRAMO LAMBAYEQUE -  PIURA SECTORES 1 - 2 - 3	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0681-00002	P-0055-20-0681-00002-001	9403208146	OC CERTIFICADA	137536.59	5031160883	COBRA	PROVIAS MTC	OFICIO 19027-2020-MTC 20 22 4	02/09/2020/			2020-12-07 12:16:31"
"M-20-09-001	Certificado	1	REUBICACIÓN DE RED TDP EN CRUCE DE LA ESTACIÓN 19 SAN JUAN DE DIOS	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349549	OC CERTIFICADA	1094.67	5031130472	EZENTIS	CONSORCIO CONSTRUCTOR M2 LIMA	CJV-CAR-000658-20 DEL 10 DE AGOSTO DEL 2020	03/09/2020/			2020-10-07 17:08:55"
"M-20-09-002	Cancelado	1	PAGO DE PENDIENTES A COMFICA POR PREPARACION DE RESPUESTAS DE INTERFERENCIAS VARIAS DISPUESTAS POR EJECUCION PERIODO ENERO MARZO 2020 	OBRA PUBLICA	INTERFERENCIAS	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403208185	OC ANULADA	100.00		COMFICA	VARIOS	CORREOS ALONSO CORNELIO Y M vALDIVIA	08/09/2020/			"
"M-20-09-003	Certificado	2	REUBICACION DE POSTES ICA TRAMO CARRETERA IC 114 -KM 292 AL KM 299	OBRA PUBLICA	GOBIERNOS REGIONALES	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403334804	OC CERTIFICADA	3351.46	5031027773	DOMINION	GOBIERNO REGIONAL DE ICA	OFICIO N° 146-2020-GORE-ICA-GRINF	09/09/2020/			2020-10-12 13:51:20"
"M-20-09-004	Certificado	2	REUBICACION DE TDP EN AV. ZARUMILLA	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349565	OC CERTIFICADA	9129.64	5031141619	EZENTIS	LIMAEXPRESA-GENERAL  PROYECTO LINEA AMARILLA	CARTA LIMAEXPRESA GENERAL 228-2020 203302 DEL	09/09/2020/			2020-10-29 12:41:47"
"M-20-09-005	Cerrado	1	DEFINITIVO INTERCAMBIO VIAL PARACAS	OBRA PUBLICA	PROVIAS MTC	NO	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349547	OC ANULADA			DOMINION	PROVIAS MTC	OFICIO 004-2019 MTC	09/09/2020/	fevc-00003526	EMITIDO	2020-09-17 13:47:42"
"M-20-09-006	Cerrado	1	REUBICACION DEFINITIVA DEL PUENTE PAVLETICH	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	P-0055-20-0188-00009	P-0055-20-0188-00009-001	9403208155	OC ANULADA			LARI	CONSORCIO INGENIERIA DIAMANTE	CONVENIO JUBERS - SIN NUMERO 	09/09/2020/	FEVC-00005887	EMITIDO	2020-10-02 12:08:31"
"M-20-09-007	Certificado	20	Reubicacion TDP  Segunda Calzada de la Carretera Puno ? Juliaca CONVENIO 35-2016	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403208176	OC CERTIFICADA	1763.70	5031644473	EZENTIS	PROVIAS MTC	CONVENIO 035-2016 	11/09/2020/	FEVC-00001438	EMITIDO	2020-12-07 12:14:21"
"M-20-09-008	Certificado	2	PESAJE Y PEAJE ICA. REUBICACION TDP DESDE KM 271 -160 mts  HASTA EL KM 275-980 mts CONVENIO N 11-2019 -  147 Y 148  - 2018	OBRA PUBLICA	PROVIAS MTC	NO	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403373584	OC CERTIFICADA	18088.52	5033449752	DOMINION	PROVIAS MTC	convenio 0011-2019	04/09/2020/	fevc-00004575	EMITIDO	2020-10-23 16:03:31"
"M-20-09-009	Cancelado	1	REUBICACIÓN RED FO RED VIAL N°5 OBRAS COMPLEMENTARIAS GRUPO 1 ABASTECIMIENTO MATERIAL- HUACHO	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403238589	OC ANULADA	5000.00		LARI	PROVIAS MTC	CORREO DE ALONSO DEL 16 DE SEPTIEMBRE DEL 202	16/09/2020/			"
"M-20-09-010	Cancelado	1	AV. MANUEL DEL VALLE & AV. VICTOR MALASQUEZ. PACHACAMAC 	OBRA PUBLICA	MUNICIPALIDADES	NO	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403238624	OC ANULADA			LARI	MUNICIPALIDAD METROPOLITANA DE LIMA	OFICIO 53-2018 MML-PGRLM-SRI	23/09/2020/			"
"M-20-09-011	Certificado	2	REUBICACION TDP FUNDO LA TEJADA PARQUE 3 CERRO COLORADO AREQUIPA	OBRA PUBLICA	CONSORCIOS PRIVADOS	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349610	OC CERTIFICADA	517.41	5031130387	EZENTIS	FILA CONTRATISTAS GENERALES	CARTA 18-2020 DEL 26 DE AGOSTO DEL 2020 sIN S	28/09/2020/			2020-10-15 14:22:21"
"M-20-10-000	Certificado	2	REUBICACION DE POSTES Y NIVELACION DE CAMARAS- PASO A DESNIVEL SAN JUAN Y ALEDANOS- 3ERA OBRA	OBRA PUBLICA	EMAPE	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403266157	OC CERTIFICADA	4789.07	5031628597	DOMINION	EMAPE	CORREO DE ALONSO CORNELIO DEL 25 DE SEPTIEMBR	02/10/2020/	FEVC-000056568	EMITIDO	2020-11-06 13:32:39"
"M-20-10-001	Certificado	22	PROYECTO CONCORDIA - DEPARTAMENTOS AREQUIPA -MOQUEGUA TACNA. 	OBRA PUBLICA	PROVIAS MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403266190	OC CERTIFICADA	282314.90	5031968035	EZENTIS	PROVIAS MTC	SIN CARTA DE CLIENTE SE USA CONVENIO 15-2019 	07/10/2020/	FEVC-00005098	EMITIDO	2020-12-04 06:23:21"
"M-20-10-002	Certificado	2	PROYECTO HUAYLAS	OBRA PUBLICA	EMAPE	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403266155	OC CERTIFICADA	59932.08	5031141583	DOMINION	EMAPE	CORREO MIGUEL VALDIVIA 11DE OCTUBRE DEL 2020 	09/10/2020/	FEVC 00007169	EMITIDO	2020-12-07 12:17:00"
"M-20-10-003	Certificado	1	AEROPUERTO DE PIURA REUBICACION TDP	OBRA PUBLICA	MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403334795	OC CERTIFICADA	25042.68	5031025202	COBRA	MTC - DIRECCION DE LIBERACION DE PREDIOS	OF.1063-2020 MTC -19.03	14/10/2020/			2020-10-23 13:17:02"
"M-20-10-004	Certificado	1	AEROPUERTO DE CHICLAYO - REUBICACION TDP	OBRA PUBLICA	MTC	SI	P-0055-20-0114-00005	P-0055-20-0114-00005-001	9403349546	OC CERTIFICADA	11042.30	5031141588	COBRA	MTC DIRECCION DE LIBERACION DE PREDIOS	OFICIO 1290-2020	14/10/2020/	FEVC-00008027	EMITIDO	2020-10-22 12:31:34"
"M-20-10-005	Certificado	1	AEROPUERTO DE CAJAMARCA REUBICACION TDP	OBRA PUBLICA	MTC	SI	P-0055-20-0188-00010	P-0055-20-0188-00010-001	9403334802	OC CERTIFICADA	6684.82	5031025297	COBRA	MTC DIRECCION DE LIBERACION DE PREDIOS	OFICIO 541-2019 -MTC	14/10/2020/			2020-10-23 13:11:15"
