"ITEMPLAN MADRE	NOMBRE	PROYECTO	SUB PROYECTO	PRIORIDAD	SOLICITUD	TIPO SOLICITUD	PEP	MONTO	ESTADO SOLICITUD	FECHA CREACION	FECHA VALIDACION	ESTADO FIRMA	ORDEN DE COMPRA	#CERTI.	EECC	ENCARGADO	NUMERO DE CARTA	FECHA DE RECEPCION	ESTADO ITEM MADRE"
"M-24-01-026	JR. SEBASTIAN BARRANCA LA VICTORIA - LIMA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-02-00003	EDICION OC	P-0055-24-0006-00025	27,065.45	PENDIENTE	2024-02-01 12:02:19			9405166927		LARI	MML - GOBIERNO REGIONAL METROPOLITANO	CARTA N° 388-2023-MML-ALC-GRML-SRI.	2024/01/08	Terminado"
"M-24-01-026	JR. SEBASTIAN BARRANCA LA VICTORIA - LIMA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-02-00004	CERTIFICACION OC	P-0055-24-0006-00025	27,065.45	EN ESPERA DE EDICION	2024-02-01 12:02:19		ATENDIDO EECC	9405166927		LARI	MML - GOBIERNO REGIONAL METROPOLITANO	CARTA N° 388-2023-MML-ALC-GRML-SRI.	2024/01/08	Terminado"
"M-24-01-025	PUENTES GARCIA RADA Y PLAYA NORTE - PUNTA HERMOSA -LIMA	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00023	CREACION OC	P-0055-24-0006-00041	15,000.00	ATENDIDO	2024-01-17 16:20:39	2024-01-18 15:01:39		9405166937		DOMINION	ANA RIOS CONSULTORES	CARTA N° 08 - 2023-ABRP-PGR	2024/01/08	Diseño"
"M-24-01-024	REUBICACION DE POSTE EN E4-06 ESTACION QUILCA LINEA 2 METRO DE LIMA	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00022	CREACION OC	P-0055-24-0006-00040	15,000.00	ATENDIDO	2024-01-17 16:20:28	2024-01-18 15:01:39		9405166928		COBRA	CONSORCIO CONSTRUCTOR M2 LIMA	CJV-CAR-00002-24_Solic-Reubic-Post-Telecom-E4	2024/01/08	Diseño"
"M-24-01-023	VIA DE INGRESO A PUCUSANA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00021	CREACION OC	P-0055-24-0006-00039	15,000.00	ATENDIDO	2024-01-17 15:11:09	2024-01-18 15:01:39		9405167124		DOMINION	MML - GOBIERNO REGIONAL METROPOLITANO DE LIMA	CARTA N°399-2023-MML-ALC-GRML-SRI	2024/01/08	Diseño"
"M-24-01-022	AV. CRISTO BLANCO - SAN FRANCISO DE LA CRUZ - PAMPLONA ALTA - SJM	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00020	CREACION OC	P-0055-24-0006-00038	15,000.00	ATENDIDO	2024-01-17 13:36:14	2024-01-18 15:01:39		9405167160		LARI	MML - GOBIERNO REGIONAL METROPOLITANO DE LIMA	CARTA N°390-2023-MML-ALC-GRML-SRI	2024/01/08	Diseño"
"M-24-01-021	JR. FRANCISCO JAVIER LUNA PIZARRO - LA VICTORIA.	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00019	CREACION OC	P-0055-24-0006-00037	15,000.00	ATENDIDO	2024-01-17 13:36:04	2024-01-18 15:01:39		9405167170		COBRA	MML - GOBIERNO REGIONAL METROPOLITANO DE LIMA	CARTA N°392-2023-MML-ALC-GRML-SRI	0000/00/00	Diseño"
"M-24-01-020	AV. ISIDRO ALCIBAR -AV GRAU - TRAMO ENTRE AV ZARUMILLA Y AV CAQUETA -SMP - LIMA 	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00018	CREACION OC	P-0055-24-0006-00036	15,000.00	ATENDIDO	2024-01-17 13:35:50	2024-01-18 15:01:39		9405167153		COBRA	MML - GOBIERNO REGIONAL METROPOLITANO DE LIMA	CARTA N°401-2023-MML-ALC-GRML-SRI	2024/01/08	Diseño"
"M-24-01-019	AA.HH. LA RINCONADA - PAMPLONA ALTA - SJM - LIMA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00017	CREACION OC	P-0055-24-0006-00035	15,000.00	PENDIENTE	2024-02-05 07:14:31					LARI	MML - GOBIERNO REGIONAL METROPOLITANO DE LIMA	CARTA N°400-2023-MML-ALC-GRML-SRI	2024/01/08	Registrado"
"M-24-01-018	OVALO LA VICTORIA - EVITAMIENTO CHICLAYO	OBRA PUBLICA	MTC	NO	OP-2024-01-00016	CREACION OC	P-0055-24-0006-00034	15,000.00	ATENDIDO	2024-01-17 13:35:24	2024-01-18 15:01:39		9405167127		COBRA	MTC -DIRECCION DE DISPONIBILIDAD DE PREDIOS	OFICIO 17881-2023/MTC/19.03	2024/01/08	Diseño"
"M-23-12-026	CIUDAD DEL PESCADOR PAITA	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00008	EDICION OC	P-0055-24-0006-00030	6,067.33	ATENDIDO	2024-01-10 17:56:25	2024-01-12 14:01:53		9405136995		COBRA	CONSORCIO CIUDAD BLANCA	ARTA N° 012-2023-CCCB- CONSORCIO CIUDAD BLANC	2023/12/14	Certificado"
"M-23-12-026	CIUDAD DEL PESCADOR PAITA	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00009	CERTIFICACION OC	P-0055-24-0006-00030	6,067.33	ATENDIDO	2024-01-17 16:22:02	2024-01-19 08:34:40	ATENDIDO GERENTE	9405136995	5041751712	COBRA	CONSORCIO CIUDAD BLANCA	ARTA N° 012-2023-CCCB- CONSORCIO CIUDAD BLANC	2023/12/14	Certificado"
"M-23-12-026	CIUDAD DEL PESCADOR PAITA	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-12-00006	CREACION OC	P-0055-24-0006-00030	15,000.00	ATENDIDO	2023-12-26 15:47:17	2023-12-28 22:03:18		9405136995		COBRA	CONSORCIO CIUDAD BLANCA	ARTA N° 012-2023-CCCB- CONSORCIO CIUDAD BLANC	2023/12/14	Certificado"
"M-23-12-025	URB BELLAMAR - CHIMBOTE	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00005	EDICION OC	P-0055-24-0006-00029	1,217.22	ATENDIDO	2024-01-08 17:42:42	2024-01-08 22:03:55		9405136917		LITEYCA	HERSA INGENIEROS SRL EJECUCION DE OBRAS CIVILES	CARGO - CARTA 021-2023 HERSA	2023/12/14	Certificado"
"M-23-12-025	URB BELLAMAR - CHIMBOTE	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00006	CERTIFICACION OC	P-0055-24-0006-00029	1,217.22	ATENDIDO	2024-01-17 16:21:54	2024-01-19 08:34:09	ATENDIDO GERENTE	9405136917	5041751701	LITEYCA	HERSA INGENIEROS SRL EJECUCION DE OBRAS CIVILES	CARGO - CARTA 021-2023 HERSA	2023/12/14	Certificado"
"M-23-12-025	URB BELLAMAR - CHIMBOTE	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-12-00005	CREACION OC	P-0055-24-0006-00029	15,000.00	ATENDIDO	2023-12-26 15:47:06	2023-12-28 22:03:18		9405136917		LITEYCA	HERSA INGENIEROS SRL EJECUCION DE OBRAS CIVILES	CARGO - CARTA 021-2023 HERSA	2023/12/14	Certificado"
"M-23-12-024	AV. MAGOLLO - TACNA	OBRA PUBLICA	GOBIERNOS REGIONALES	NO	OP-2024-01-00010	EDICION OC	P-0055-24-0006-00028	13,228.62	ATENDIDO	2024-01-10 17:56:56	2024-01-12 14:01:53		9405136932		DOMINION	GORE TACNA -OFICINA DE FORMULACION DE PROYECTOS	OFICIO Nº 801-2023-GGR-OEFPGOB.REG.TACNA.	2023/12/12	Certificado"
"M-23-12-024	AV. MAGOLLO - TACNA	OBRA PUBLICA	GOBIERNOS REGIONALES	NO	OP-2024-01-00011	CERTIFICACION OC	P-0055-24-0006-00028	13,228.62	ATENDIDO	2024-01-17 16:22:06	2024-01-19 08:35:37	ATENDIDO GERENTE	9405136932	5041751761	DOMINION	GORE TACNA -OFICINA DE FORMULACION DE PROYECTOS	OFICIO Nº 801-2023-GGR-OEFPGOB.REG.TACNA.	2023/12/12	Certificado"
"M-23-12-024	AV. MAGOLLO - TACNA	OBRA PUBLICA	GOBIERNOS REGIONALES	NO	OP-2024-12-00004	CREACION OC	P-0055-24-0006-00028	15,000.00	ATENDIDO	2023-12-26 15:46:56	2023-12-28 22:03:18		9405136932		DOMINION	GORE TACNA -OFICINA DE FORMULACION DE PROYECTOS	OFICIO Nº 801-2023-GGR-OEFPGOB.REG.TACNA.	2023/12/12	Certificado"
"M-23-12-023	PUENTE JORGE CHAVEZ - CHIMBOTE	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00014	EDICION OC	P-0055-24-0006-00027	27,431.22	PENDIENTE	2024-02-07 13:54:57			9405136905		LITEYCA	PEDALTA INGENIERIA SAC	Carta PED-JC-23-13 (020) Telefonica.pdf	2023/12/10	En Certificación"
"M-23-12-023	PUENTE JORGE CHAVEZ - CHIMBOTE	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-01-00015	CERTIFICACION OC	P-0055-24-0006-00027	27,431.22	EN ESPERA DE EDICION	2024-02-07 13:54:57		ATENDIDO GERENTE	9405136905		LITEYCA	PEDALTA INGENIERIA SAC	Carta PED-JC-23-13 (020) Telefonica.pdf	2023/12/10	En Certificación"
"M-23-12-023	PUENTE JORGE CHAVEZ - CHIMBOTE	OBRA PUBLICA	CONSORCIOS PRIVADOS	NO	OP-2024-12-00003	CREACION OC	P-0055-24-0006-00027	15,000.00	ATENDIDO	2023-12-26 15:46:46	2023-12-28 22:03:18		9405136905		LITEYCA	PEDALTA INGENIERIA SAC	Carta PED-JC-23-13 (020) Telefonica.pdf	2023/12/10	En Certificación"
"M-23-11-038	ATC AEROPUERTO DE TARAPOTO	OBRA PUBLICA	TORRERAS	NO	OP-2024-01-00012	EDICION OC	P-0055-24-0006-00026	565.68	ATENDIDO	2024-01-12 09:03:53	2024-01-13 11:01:53		9405136922		COBRA	AMERICAN TOWER PERU	CARTA NOTARIAL 365727	2023/11/28	Certificado"
"M-23-11-038	ATC AEROPUERTO DE TARAPOTO	OBRA PUBLICA	TORRERAS	NO	OP-2024-01-00013	CERTIFICACION OC	P-0055-24-0006-00026	565.68	ATENDIDO	2024-01-17 16:22:09	2024-01-19 08:33:28	ATENDIDO GERENTE	9405136922	5041751685	COBRA	AMERICAN TOWER PERU	CARTA NOTARIAL 365727	2023/11/28	Certificado"
"M-23-11-038	ATC AEROPUERTO DE TARAPOTO	OBRA PUBLICA	TORRERAS	NO	OP-2024-12-00002	CREACION OC	P-0055-24-0006-00026	15,000.00	ATENDIDO	2023-12-26 15:46:32	2023-12-28 22:03:18		9405136922		COBRA	AMERICAN TOWER PERU	CARTA NOTARIAL 365727	2023/11/28	Certificado"
"M-23-11-037	JR. SEBASTIAN BARRANCA LA VICTORIA - LIMA 	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00007	ANULACION POS. OC	P-0055-24-0006-00025	15,000.00	ATENDIDO	2024-01-08 20:44:55	2024-01-15 09:49:35		9405136904		COBRA	MUNICIPALIDAD METROPOLITANA DE LIMA	CARTA N° 388-2023-MML-ALC-GRML-SRI	2023/11/28	Cancelado"
"M-23-11-037	JR. SEBASTIAN BARRANCA LA VICTORIA - LIMA 	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-12-00001	CREACION OC	P-0055-24-0006-00025	15,000.00	ATENDIDO	2023-12-26 15:46:15	2023-12-28 22:03:18		9405136904		COBRA	MUNICIPALIDAD METROPOLITANA DE LIMA	CARTA N° 388-2023-MML-ALC-GRML-SRI	2023/11/28	Cancelado"
"M-23-11-036	PUENTE MOTUPE 1 - KM 822+725 - MOTUPE LAMBAYEQYE	OBRA PUBLICA	MTC	NO	OP-2023-11-00034	CREACION OC	P-0055-24-0006-00004	15,000.00	ATENDIDO	2023-11-22 16:36:52	2023-11-24 09:31:28		9405078717		COBRA	MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES - DDP	OFICIO N° 14669-2023-MTC-19.03.pdf	2023/11/13	Certificado"
"M-23-11-036	PUENTE MOTUPE 1 - KM 822+725 - MOTUPE LAMBAYEQYE	OBRA PUBLICA	MTC	NO	OP-2023-12-00003	EDICION OC	P-0055-24-0006-00004	2,037.69	ATENDIDO	2023-12-10 11:16:59	2023-12-10 17:31:35		9405078717		COBRA	MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES - DDP	OFICIO N° 14669-2023-MTC-19.03.pdf	2023/11/13	Certificado"
"M-23-11-036	PUENTE MOTUPE 1 - KM 822+725 - MOTUPE LAMBAYEQYE	OBRA PUBLICA	MTC	NO	OP-2023-12-00004	CERTIFICACION OC	P-0055-24-0006-00004	2,037.69	CANCELADO	2023-12-11 16:47:10		ATENDIDO GERENTE	9405078717		COBRA	MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES - DDP	OFICIO N° 14669-2023-MTC-19.03.pdf	2023/11/13	Certificado"
"M-23-11-036	PUENTE MOTUPE 1 - KM 822+725 - MOTUPE LAMBAYEQYE	OBRA PUBLICA	MTC	NO	OP-2024-01-00003	EDICION OC	P-0055-24-0006-00004	2,138.31	ATENDIDO	2024-01-05 15:51:52	2024-01-11 15:52:32		9405078717		COBRA	MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES - DDP	OFICIO N° 14669-2023-MTC-19.03.pdf	2023/11/13	Certificado"
"M-23-11-036	PUENTE MOTUPE 1 - KM 822+725 - MOTUPE LAMBAYEQYE	OBRA PUBLICA	MTC	NO	OP-2024-01-00004	CERTIFICACION OC	P-0055-24-0006-00004	2,138.31	ATENDIDO	2024-01-17 16:21:51	2024-01-19 08:34:25	ATENDIDO GERENTE	9405078717	5041751679	COBRA	MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES - DDP	OFICIO N° 14669-2023-MTC-19.03.pdf	2023/11/13	Certificado"
"M-23-11-035	Construcción de los Pesajes - Chocas y Huachipuquio y Peajes - Huachipuquio y Huaros Carretera Lima - Canta	OBRA PUBLICA	PROVIAS MTC	NO	OP-2023-11-00033	CREACION OC	P-0055-24-0006-00003	15,000.00	ATENDIDO	2023-11-22 16:36:42	2023-11-24 09:31:29		9405078750		COBRA	PROVIAS NACIONAL	OFICIO N° 14192 -2023-MTC-20.11_ TELEFONICA.	2023/11/13	Certificado"
"M-23-11-035	Construcción de los Pesajes - Chocas y Huachipuquio y Peajes - Huachipuquio y Huaros Carretera Lima - Canta	OBRA PUBLICA	PROVIAS MTC	NO	OP-2023-12-00001	EDICION OC	P-0055-24-0006-00003	1,144.30	ATENDIDO	2023-12-01 19:35:36	2023-12-02 13:32:25		9405078750		COBRA	PROVIAS NACIONAL	OFICIO N° 14192 -2023-MTC-20.11_ TELEFONICA.	2023/11/13	Certificado"
"M-23-11-035	Construcción de los Pesajes - Chocas y Huachipuquio y Peajes - Huachipuquio y Huaros Carretera Lima - Canta	OBRA PUBLICA	PROVIAS MTC	NO	OP-2023-12-00002	CERTIFICACION OC	P-0055-24-0006-00003	1,144.30	ATENDIDO	2024-01-15 15:54:51	2024-01-19 08:33:55	ATENDIDO GERENTE	9405078750	5041751673	COBRA	PROVIAS NACIONAL	OFICIO N° 14192 -2023-MTC-20.11_ TELEFONICA.	2023/11/13	Certificado"
"M-23-11-034	PUENTE LA LECHE KM 26+272 - ILLIMO - LAMBAYEQUE	OBRA PUBLICA	PROVIAS MTC	NO	OP-2023-11-00030	CREACION OC	P-0055-24-0006-00002	15,000.00	ATENDIDO	2023-11-15 16:02:37	2023-11-16 18:38:00		9405063454		COBRA	PROVIAS NACIONAL	Oficio N° 12371 - 2023- MTC20.11 	2023/11/08	Certificado"
"M-23-11-034	PUENTE LA LECHE KM 26+272 - ILLIMO - LAMBAYEQUE	OBRA PUBLICA	PROVIAS MTC	NO	OP-2023-12-00011	EDICION OC	P-0055-24-0006-00002	10,371.05	ATENDIDO	2023-12-13 11:02:51	2023-12-13 22:04:38		9405063454		COBRA	PROVIAS NACIONAL	Oficio N° 12371 - 2023- MTC20.11 	2023/11/08	Certificado"
"M-23-11-034	PUENTE LA LECHE KM 26+272 - ILLIMO - LAMBAYEQUE	OBRA PUBLICA	PROVIAS MTC	NO	OP-2023-12-00012	CERTIFICACION OC	P-0055-24-0006-00002	10,371.05	ATENDIDO	2024-01-15 15:54:48	2024-01-19 08:35:00	ATENDIDO GERENTE	9405063454	5041751764	COBRA	PROVIAS NACIONAL	Oficio N° 12371 - 2023- MTC20.11 	2023/11/08	Certificado"
"M-23-11-033	PAR VIAL EN PACHACAMAC Y CIENEGUILLA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2023-11-00029	CREACION OC	P-0055-24-0006-00001	15,000.00	ATENDIDO	2023-11-15 15:57:13	2023-11-16 18:38:00		9405063455		LARI	MML	CARTA N° 351 -2023-MML-ALC-GRML-SRI.	2023/11/07	Certificado"
"M-23-11-033	PAR VIAL EN PACHACAMAC Y CIENEGUILLA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2023-12-00005	EDICION OC	P-0055-24-0006-00001	731.75	ATENDIDO	2023-12-10 11:17:39	2023-12-10 17:31:35		9405063455		LARI	MML	CARTA N° 351 -2023-MML-ALC-GRML-SRI.	2023/11/07	Certificado"
"M-23-11-033	PAR VIAL EN PACHACAMAC Y CIENEGUILLA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2023-12-00006	CERTIFICACION OC	P-0055-24-0006-00001	731.75	CANCELADO	2023-12-11 10:55:53		ATENDIDO GERENTE	9405063455		LARI	MML	CARTA N° 351 -2023-MML-ALC-GRML-SRI.	2023/11/07	Certificado"
"M-23-11-033	PAR VIAL EN PACHACAMAC Y CIENEGUILLA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00001	EDICION OC	P-0055-24-0006-00001	12,932.58	ATENDIDO	2024-01-05 15:39:11	2024-01-11 15:52:32		9405063455		LARI	MML	CARTA N° 351 -2023-MML-ALC-GRML-SRI.	2023/11/07	Certificado"
"M-23-11-033	PAR VIAL EN PACHACAMAC Y CIENEGUILLA	OBRA PUBLICA	MUNICIPALIDADES	NO	OP-2024-01-00002	CERTIFICACION OC	P-0055-24-0006-00001	12,932.58	ATENDIDO	2024-01-17 16:21:46	2024-01-19 08:35:15	ATENDIDO GERENTE	9405063455	5041751769	LARI	MML	CARTA N° 351 -2023-MML-ALC-GRML-SRI.	2023/11/07	Certificado"
"M-23-10-028	ADICIONALES ANILLO VIAL PERIFERICO 	OBRA PUBLICA	MTC	NO	OP-2023-11-00016	CREACION OC	P-0055-23-0092-00181	45,000.00	ATENDIDO	2023-11-17 17:15:47	2023-12-04 12:29:04		9405087761		COBRA	MTC- DIRECCION DE DISPONIBILIDAD DE PREDIOS	3763-2023-MTC_1903	2023/10/31	Certificado"
"M-23-10-028	ADICIONALES ANILLO VIAL PERIFERICO 	OBRA PUBLICA	MTC	NO	OP-2023-12-00013	EDICION OC	P-0055-23-0092-00181	123,501.20	ATENDIDO	2023-12-15 15:03:11	2023-12-18 09:05:25		9405087761		COBRA	MTC- DIRECCION DE DISPONIBILIDAD DE PREDIOS	3763-2023-MTC_1903	2023/10/31	Certificado"
"M-23-10-028	ADICIONALES ANILLO VIAL PERIFERICO 	OBRA PUBLICA	MTC	NO	OP-2023-12-00014	CERTIFICACION OC	P-0055-23-0092-00181	123,501.20	ATENDIDO	2023-12-15 15:03:11	2023-12-19 12:46:01	ATENDIDO GERENTE	9405087761	5041518603	COBRA	MTC- DIRECCION DE DISPONIBILIDAD DE PREDIOS	3763-2023-MTC_1903	2023/10/31	Certificado"
"M-23-10-027	PUNTO CRITICO - CARRETERA CENTRAL - (Del Km 135+000 al Km 135+370)	OBRA PUBLICA	MTC	NO	OP-2023-10-00007	CREACION OC	P-0055-23-0092-00175	15,000.00	ATENDIDO	2023-10-20 13:45:13	2023-10-27 10:56:23		9405033262		LARI	MTC - DIRECCION DE DISPONIBILIDAD DE PREDIOS	OFICIO N°13023-2023-MTC-19.03_12.10.2023_I-53	2023/10/27	Certificado"
"M-23-10-027	PUNTO CRITICO - CARRETERA CENTRAL - (Del Km 135+000 al Km 135+370)	OBRA PUBLICA	MTC	NO	OP-2023-11-00006	EDICION OC	P-0055-23-0092-00175	2,356.86	ATENDIDO	2023-11-03 09:44:42	2023-11-08 21:01:41		9405033262		LARI	MTC - DIRECCION DE DISPONIBILIDAD DE PREDIOS	OFICIO N°13023-2023-MTC-19.03_12.10.2023_I-53	2023/10/27	Certificado"
